function,iter,pi,error,t_np,t_p,hostname
1, 1000000,  3.1415926539, 3.1415926536e+00, 0.00001,  0.01440, wn21 
1, 1100000,  3.1415926539, 3.1415926536e+00, 0.00004,  0.02392, wn21 
1, 1200000,  3.1415926539, 3.1415926536e+00, 0.00003,  0.02075, wn21 
1, 1300000,  3.1415926538, 3.1415926536e+00, 0.00002,  0.02039, wn21 
1, 1400000,  3.1415926538, 3.1415926536e+00, 0.00002,  0.02237, wn21 
1, 1500000,  3.1415926538, 3.1415926536e+00, 0.00002,  0.02662, wn21 
1, 1600000,  3.1415926538, 3.1415926536e+00, 0.00002,  0.02893, wn21 
1, 1700000,  3.1415926537, 3.1415926536e+00, 0.00003,  0.03042, wn21 
1, 1800000,  3.1415926537, 3.1415926536e+00, 0.00003,  0.03293, wn21 
1, 1900000,  3.1415926537, 3.1415926536e+00, 0.00003,  0.03297, wn21 
1, 2000000,  3.1415926537, 3.1415926536e+00, 0.00003,  0.03668, wn21 
1, 2100000,  3.1415926537, 3.1415926536e+00, 0.00003,  0.03673, wn21 
1, 2200000,  3.1415926537, 3.1415926536e+00, 0.00003,  0.03719, wn21 
1, 2300000,  3.1415926537, 3.1415926536e+00, 0.00004,  0.03908, wn21 
1, 2400000,  3.1415926537, 3.1415926536e+00, 0.00004,  0.04194, wn21 
1, 2500000,  3.1415926537, 3.1415926536e+00, 0.00004,  0.04425, wn21 
1, 2600000,  3.1415926537, 3.1415926536e+00, 0.00004,  0.04416, wn21 
1, 2700000,  3.1415926537, 3.1415926536e+00, 0.00004,  0.04723, wn21 
1, 2800000,  3.1415926537, 3.1415926536e+00, 0.00004,  0.04821, wn21 
1, 2900000,  3.1415926537, 3.1415926536e+00, 0.00004,  0.04995, wn21 
1, 3000000,  3.1415926537, 3.1415926536e+00, 0.00005,  0.05034, wn21 
1, 3100000,  3.1415926537, 3.1415926536e+00, 0.00004,  0.05319, wn21 
1, 3200000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05251, wn21 
1, 3300000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05628, wn21 
1, 3400000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05629, wn21 
1, 3500000,  3.1415926536, 3.1415926536e+00, 0.00006,  0.05721, wn21 
1, 3600000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06023, wn21 
1, 3700000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.05995, wn21 
1, 3800000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06153, wn21 
1, 3900000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06357, wn21 
1, 4000000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06449, wn21 
1, 4100000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06615, wn21 
1, 4200000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06744, wn21 
1, 4300000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.06882, wn21 
1, 4400000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07045, wn21 
1, 4500000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07230, wn21 
1, 4600000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07459, wn21 
1, 4700000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07512, wn21 
1, 4800000,  3.1415926536, 3.1415926536e+00, 0.00004,  0.07652, wn21 
