function,iter,pi,error,time,hostname
1, 100000,  3.1415926536, 8.3684170704e-12, 0.00133,  ui01.hpc.unipr.it 
2, 100000,  3.1415926645, 1.0892036606e-08, 0.00174,  ui01.hpc.unipr.it 
1, 110000,  3.1415926536, 6.8620664706e-12, 0.00146,  ui01.hpc.unipr.it 
2, 110000,  3.1415926630, 9.4410679274e-09, 0.00180,  ui01.hpc.unipr.it 
1, 120000,  3.1415926536, 5.7887028504e-12, 0.00168,  ui01.hpc.unipr.it 
2, 120000,  3.1415926619, 8.2858613304e-09, 0.00195,  ui01.hpc.unipr.it 
1, 130000,  3.1415926536, 4.9329429430e-12, 0.00193,  ui01.hpc.unipr.it 
2, 130000,  3.1415926609, 7.3485106888e-09, 0.00215,  ui01.hpc.unipr.it 
1, 140000,  3.1415926536, 4.2938985700e-12, 0.00187,  ui01.hpc.unipr.it 
2, 140000,  3.1415926602, 6.5753882339e-09, 0.00232,  ui01.hpc.unipr.it 
1, 150000,  3.1415926536, 3.6952663152e-12, 0.00202,  ui01.hpc.unipr.it 
2, 150000,  3.1415926595, 5.9288880472e-09, 0.00264,  ui01.hpc.unipr.it 
1, 160000,  3.1415926536, 3.2134295225e-12, 0.00243,  ui01.hpc.unipr.it 
2, 160000,  3.1415926590, 5.3818092205e-09, 0.00281,  ui01.hpc.unipr.it 
1, 170000,  3.1415926536, 2.8235191962e-12, 0.00225,  ui01.hpc.unipr.it 
2, 170000,  3.1415926585, 4.9139829983e-09, 0.00307,  ui01.hpc.unipr.it 
1, 180000,  3.1415926536, 2.5970336992e-12, 0.00248,  ui01.hpc.unipr.it 
2, 180000,  3.1415926581, 4.5103347723e-09, 0.00311,  ui01.hpc.unipr.it 
1, 190000,  3.1415926536, 2.3159252294e-12, 0.00260,  ui01.hpc.unipr.it 
2, 190000,  3.1415926577, 4.1589527378e-09, 0.00335,  ui01.hpc.unipr.it 
1, 200000,  3.1415926536, 2.0965451597e-12, 0.00267,  ui01.hpc.unipr.it 
2, 200000,  3.1415926574, 3.8508964906e-09, 0.00324,  ui01.hpc.unipr.it 
1, 210000,  3.1415926536, 1.9300117060e-12, 0.00279,  ui01.hpc.unipr.it 
2, 210000,  3.1415926572, 3.5791187791e-09, 0.00341,  ui01.hpc.unipr.it 
1, 220000,  3.1415926536, 1.6604495556e-12, 0.00340,  ui01.hpc.unipr.it 
2, 220000,  3.1415926569, 3.3379055075e-09, 0.00374,  ui01.hpc.unipr.it 
1, 230000,  3.1415926536, 1.5947243526e-12, 0.00320,  ui01.hpc.unipr.it 
2, 230000,  3.1415926567, 3.1225959596e-09, 0.00390,  ui01.hpc.unipr.it 
1, 240000,  3.1415926536, 1.3948842081e-12, 0.00320,  ui01.hpc.unipr.it 
2, 240000,  3.1415926565, 2.9294002779e-09, 0.00390,  ui01.hpc.unipr.it 
1, 250000,  3.1415926536, 1.2922996007e-12, 0.00331,  ui01.hpc.unipr.it 
2, 250000,  3.1415926563, 2.7555375759e-09, 0.00412,  ui01.hpc.unipr.it 
1, 260000,  3.1415926536, 1.2168044350e-12, 0.00342,  ui01.hpc.unipr.it 
2, 260000,  3.1415926562, 2.5980471108e-09, 0.00422,  ui01.hpc.unipr.it 
1, 270000,  3.1415926536, 1.1057821325e-12, 0.00355,  ui01.hpc.unipr.it 
2, 270000,  3.1415926560, 2.4551161104e-09, 0.00438,  ui01.hpc.unipr.it 
